"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47868","INSTALL","","2026-07-20","passed","2026-07-20","","Оркестратор TRBOnet","Orchestrator",""
"","34095","UNINSTALL","","2026-07-20","passed","2026-07-20","","Оркестратор TRBOnet","Orchestrator",""
"","43898","ONE_TEST","","2026-07-20","passed","2026-07-20","","Оркестратор TRBOnet","Orchestrator",""
"","61280","DISPATCH_TEST","","2026-07-20","passed","2026-07-20","","Оркестратор TRBOnet","Orchestrator",""
"","28966","CONFIGURE","","2026-07-20","passed","2026-07-20","","Оркестратор TRBOnet","Orchestrator",""
"","353680","ВСЕ ШАГИ ОРКЕСТРАТОРА","","2026-07-20","passed","2026-07-20","","Оркестратор TRBOnet","Orchestrator",""
"","119481","DOWNLOAD","","2026-07-20","passed","2026-07-20","","Оркестратор TRBOnet","Orchestrator",""
