"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Smoke-тест настройки конфигуратора сервера.

Зависимости:
- Подготовленное окружение (фикстура migration_prepared)
","22572","Smoke: Настройка сервера 6.5.0.9145","tests","2026-08-13","passed","2026-08-13","TestConfigureServer","Подготовка окружения","",""
"
Smoke-тест TRBOnet One приложения.

Зависимости:
- Подготовленное окружение (фикстура migration_prepared)
- Успешный тест configure_server (pytest-dependency)
- НЕ зависит от теста Dispatch Console
","29404","Smoke: TRBOnet One 6.5.0.9145","tests","2026-08-13","passed","2026-08-13","TestTRBOnetOneSmoke","test_smoke_build","",""
"
Smoke-тест Dispatch Console приложения.

Зависимости:
- Подготовленное окружение (фикстура migration_prepared)
- Успешный тест configure_server (pytest-dependency)
","61345","Smoke: Dispatch Console 6.5.0.9145","tests","2026-08-13","passed","2026-08-13","TestDispatchConsoleSmoke","test_smoke_build","",""
