"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Подготовка окружения","0","Установка TRBOnet","1","0","Базовая настройка после установки","0"
"0","Подготовка окружения","0","Настройка сервера","1","0","Базовая настройка после установки","0"
"0","Smoke-тестирование сборки","0","Установка TRBOnet","1","0","Базовая настройка после установки","0"
"0","Smoke-тестирование сборки","0","Настройка сервера","1","0","Базовая настройка после установки","0"
"0","Smoke-тестирование сборки","0","Тестирование приложений","1","0","TRBOnet One","0"
"0","Smoke-тестирование сборки","0","Тестирование приложений","1","0","Dispatch Console","0"
